Opening Name,Line
King's Indian Attack: Sicilian Variation,1.Nf3 d5 2.g3 c5
English Opening: Agincourt Defense,1.c4 Nf6 2.Nc3 e6
"English Opening: Reversed Sicilian, Kramnik-Shirov Counterattack",1.c4 e5 2.Nc3 Bb4
French Defense: St. George Defense,1.e4 e6 2.d4 a6
Queen's Pawn Opening: Keres Defense,1.d4 e6 2.c4 Bb4+
Queen's Pawn Opening: English Defense,1.d4 e6 2.c4 b6
Slav Defense,1.d4 d5 2.c4 c6
King's Indian Attack: Double Fianchetto Variation,1.Nf3 d5 2.g3 g6
"English Opening: Symmetrical, Two Knights Variation",1.c4 c5 2.Nc3 Nc6
King's Gambit Accepted,1.e4 e5 2.f4 exf4
"King's Pawn Opening: King's Knight, Elephant Gambit",1.e4 e5 2.Nf3 d5
Queen's Gambit Accepted,1.d4 d5 2.c4 dxc4
Philidor Defense,1.e4 e5 2.Nf3 d6
"Réti Opening: King's Indian Attack, Spassky Variation",1.Nf3 Nf6 2.g3 b5
Pirc Defense: Maróczy Defense,1.e4 d6 2.d4 e5
Indian Game: Accelerated Variation,1.d4 Nf6 2.c4 b6
"Réti Opening: King's Indian Attack, Symmetrical Defense",1.Nf3 Nf6 2.g3 g6
English Opening: Two Knights Variation,1.c4 e5 2.Nc3 Nf6
Queen's Pawn Opening: Keres Defense,1.d4 e6 2.c4 Bb4+
Scandinavian Defense: Mieses-Kotrč Variation,1.e4 d5 2.exd5 Qxd5
Queen's Pawn Opening: English Defense,1.d4 e6 2.c4 b6
Indian Game: Black Knights' Tango,1.d4 Nf6 2.c4 Nc6
Dutch Defense: Staunton Gambit Accepted,1.d4 f5 2.e4 fxe4
French Defense: Franco-Sicilian Defense,1.e4 e6 2.d4 c5
King's Gambit Declined: Classical Variation,1.e4 e5 2.f4 Bc5
Indian Game: Spielmann-Indian Variation,1.d4 Nf6 2.Nf3 c5
Queen's Pawn Opening: Wade Defense,1.d4 d6 2.Nf3 Bg4
Budapest Gambit,1.d4 Nf6 2.c4 e5
Sicilian Defense: Hyperaccelerated Dragon Variation,1.e4 c5 2.Nf3 g6
Queen's Gambit Declined: Albin Countergambit,1.d4 d5 2.c4 e5
Modern Defense,1.d4 d6 2.c4 g6
"Réti Opening: Réti Gambit Declined, Advance Variation",1.Nf3 d5 2.c4 d4
Trompowsky Attack: Classical Defense,1.d4 Nf6 2.Bg5 e6
Closed Sicilian Defense: Traditional Line,1.e4 c5 2.Nc3 Nc6
Alekhine's Defense: Scandinavian Variation,1.e4 Nf6 2.Nc3 d5
Queen's Pawn Opening: Krause Variation,1.d4 d5 2.Nf3 c5
Nimzowitsch Defense Declined: Williams Variation,1.e4 Nc6 2.Nf3 d6
Sicilian Defense: French Variation,1.e4 c5 2.Nf3 e6
Scandinavian Defense: Modern Variation,1.e4 d5 2.exd5 Nf6
Old Benoni Defense: Benoni-Indian Defense,1.d4 c5 2.d5 Nf6
"Queen's Pawn Opening: Accelerated London, Steinitz Countergambit",1.d4 d5 2.Bf4 c5
Caro-Kann Defense,1.e4 d5 2.Nc3 c6
Indian Game: Tartakower Defense,1.d4 Nf6 2.Nf3 d6
"English Opening: Anglo-Indian, King's Indian Defense",1.c4 Nf6 2.Nf3 g6
Dutch Defense: Classical Variation,1.d4 e6 2.c4 f5
Dutch Defense: Classical Variation,1.d4 f5 2.c4 e6
Queen's Gambit Declined: Baltic Defense,1.d4 d5 2.c4 Bf5
Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,1.e4 c5 2.Nf3 Nc6 3.Bb5
"Sicilian Defense: Nimzowitsch, Advance Variation",1.e4 c5 2.Nf3 Nf6 3.e5
"English Opening: Reversed Sicilian, Three Knights System",1.c4 e5 2.Nc3 Nc6 3.Nf3
Ruy López Opening,1.e4 e5 2.Nf3 Nc6 3.Bb5
"Sicilian Defense: Nimzowitsch, Closed",1.e4 c5 2.Nf3 Nf6 3.Nc3
"Trompowsky Attack: Classical, Big Center Variation",1.d4 Nf6 2.Bg5 e6 3.e4
"Indian Game: East Indian, London System",1.d4 Nf6 2.Nf3 g6 3.Bf4
"Sicilian Defense: O'Kelly, Maróczy Bind Formation",1.e4 c5 2.Nf3 a6 3.c4
"Vienna Game: Falkbeer, Mieses Variation",1.e4 e5 2.Nc3 Nf6 3.g3
Sicilian Defense: Open,1.e4 c5 2.Nf3 Nc6 3.d4
Queen's Gambit Accepted: Old Variation,1.d4 d5 2.c4 dxc4 3.e3
Queen's Pawn Opening: Torre Attack,1.d4 d5 2.Nf3 Nf6 3.Bg5
"Sicilian Defense: O'Kelly, Venice System",1.e4 c5 2.Nf3 a6 3.c3
Queen's Gambit Accepted: Central Variation,1.d4 d5 2.c4 dxc4 3.e4
Petrov's Defense: Steinitz Attack,1.e4 e5 2.Nf3 Nf6 3.d4
Trompowsky Attack: Raptor Variation,1.d4 Nf6 2.Bg5 Ne4 3.h4
Sicilian Defense: Westerinen Attack,1.e4 c5 2.Nf3 e6 3.b3
Queen's Pawn Opening: Pseudo-Catalan Variation,1.d4 d5 2.Nf3 Nf6 3.g3
Richter-Veresov Attack,1.d4 d5 2.Nc3 Nf6 3.Bg5
"Vienna Game: Falkbeer, Mieses Variation",1.e4 e5 2.Nc3 Nf6 3.g3
English Opening: Mikėnas-Carls Variation,1.c4 Nf6 2.Nc3 e6 3.e4
Slav Defense: Modern Line,1.d4 d5 2.c4 c6 3.Nf3
Italian Game,1.e4 e5 2.Nf3 Nc6 3.Bc4
King's Gambit Accepted: Bishop's Gambit,1.e4 e5 2.f4 exf4 3.Bc4
Queen's Gambit Declined: Queen's Knight Variation,1.d4 d5 2.c4 e6 3.Nc3
Modern Defense: Three Pawns Attack,1.e4 g6 2.d4 Bg7 3.f4
Closed Sicilian Defense: Chameleon Variation,1.e4 c5 2.Nc3 Nc6 3.Nge2
"Indian Game: East Indian, Anti-Nimzo-Indian Variation",1.d4 Nf6 2.c4 e6 3.Nf3
Petrov's Defense: Three Knights Game,1.e4 e5 2.Nf3 Nf6 3.Nc3
"English Opening: Symmetrical, Anti-Benoni Variation",1.c4 c5 2.Nf3 Nf6 3.d4
Closed Sicilian Defense: Grand Prix Attack,1.e4 c5 2.Nc3 Nc6 3.f4
English Opening: Carls-Bremen System,1.c4 e5 2.Nc3 Nf6 3.g3
English Opening: Agincourt Defense,1.Nf3 d5 2.c4 e6 3.g3
Colle System,1.d4 d5 2.Nf3 Nf6 3.e3
English Opening: Agincourt Defense,1.Nf3 d5 2.c4 e6 3.g3
Indian Game: London System,1.d4 Nf6 2.Nf3 e6 3.Bf4
"Sicilian Defense: O'Kelly, Maróczy Bind Formation",1.e4 c5 2.Nf3 a6 3.c4
"Indian Game: East Indian, London System",1.d4 Nf6 2.Nf3 g6 3.Bf4
"Trompowsky Attack: Classical, Big Center Variation",1.d4 Nf6 2.Bg5 e6 3.e4
"Sicilian Defense: Nimzowitsch, Closed",1.e4 c5 2.Nf3 Nf6 3.Nc3
Ruy López Opening,1.e4 e5 2.Nf3 Nc6 3.Bb5
"English Opening: Reversed Sicilian, Three Knights System",1.c4 e5 2.Nc3 Nc6 3.Nf3
Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,1.e4 c5 2.Nf3 Nc6 3.Bb5
Caro-Kann Defense: Two Knights Attack,1.e4 c6 2.Nc3 d5 3.Nf3
London System,1.d4 d5 2.Nf3 Nf6 3.Bf4
Sicilian Defense: Delayed Alapin Variation,1.e4 c5 2.Nf3 d6 3.c3
King's Gambit Accepted: King's Knight Gambit,1.e4 e5 2.f4 exf4 3.Nf3
"Sicilian Defense: Hyperaccelerated Dragon, Fianchetto Variation",1.e4 c5 2.Nf3 g6 3.d4
King's Gambit Declined: Falkbeer Countergambit Accepted,1.e4 e5 2.f4 d5 3.exd5
Caro-Kann Defense: Advance Variation,1.e4 c6 2.d4 d5 3.e5
Sicilian Defense: Kramnik Variation,1.e4 c5 2.Nf3 e6 3.c4
Three Knights Opening,1.e4 e5 2.Nf3 Nc6 3.Nc3
Modern Defense: Standard Line,1.e4 g6 2.d4 Bg7 3.Nc3
Sicilian Defense: Canal Attack,1.e4 c5 2.Nf3 d6 3.Bb5+
King's Indian Defense: Alekhine Anti-Grünfeld Variation,1.d4 Nf6 2.c4 g6 3.f3
"French Defense: Knight Variation, Two Knights Variation",1.e4 e6 2.Nf3 d5 3.Nc3
"English Opening: Symmetrical, Fianchetto Variation",1.c4 c5 2.Nc3 Nf6 3.g3
"Dutch Defense: Classical, Rubinstein Variation",1.d4 f5 2.c4 e6 3.Nc3
"French Defense: Horwitz, Papa-Ticulat Gambit",1.e4 e6 2.b3 d5 3.Bb2
King's Indian Defense: Alekhine Anti-Grünfeld Variation,1.d4 Nf6 2.c4 g6 3.f3
Sicilian Defense: Canal Attack,1.e4 c5 2.Nf3 d6 3.Bb5+
Modern Defense: Standard Line,1.e4 g6 2.d4 Bg7 3.Nc3
Three Knights Opening,1.e4 e5 2.Nf3 Nc6 3.Nc3
Sicilian Defense: Kramnik Variation,1.e4 c5 2.Nf3 e6 3.c4
Caro-Kann Defense: Advance Variation,1.e4 c6 2.d4 d5 3.e5
King's Gambit Declined: Falkbeer Countergambit Accepted,1.e4 e5 2.f4 d5 3.exd5
"Sicilian Defense: Hyperaccelerated Dragon, Fianchetto Variation",1.e4 c5 2.Nf3 g6 3.d4
King's Gambit Accepted: King's Knight Gambit,1.e4 e5 2.f4 exf4 3.Nf3
Sicilian Defense: Delayed Alapin Variation,1.e4 c5 2.Nf3 d6 3.c3
London System,1.d4 d5 2.Nf3 Nf6 3.Bf4
"English Opening: Symmetrical, Two Knights, Fianchetto Variation",1.c4 c5 2.Nc3 Nc6 3.g3
Scotch Game,1.e4 e5 2.Nf3 Nc6 3.d4
Caro-Kann Defense: Exchange Variation,1.e4 c6 2.d4 d5 3.exd5
"English Opening: Caro-Kann Defensive System, Anglo-Slav Variation",1.c4 c6 2.Nf3 d5 3.b3
Closed Sicilian Defense: Grand Prix Variation,1.e4 c5 2.Nc3 d6 3.f4
French Defense: Exchange Variation,1.e4 e6 2.d4 d5 3.exd5
"Indian Game: East Indian, Przepiórka Variation",1.d4 Nf6 2.Nf3 g6 3.g3
Dutch Defense: Queen's Knight Variation,1.d4 f5 2.c4 Nf6 3.Nc3
Catalan Opening,1.d4 Nf6 2.c4 e6 3.g3
"Sicilian Defense: O'Kelly, Normal System",1.e4 c5 2.Nf3 a6 3.d4
"Vienna Game: Max Lange, Paulsen Variation",1.e4 e5 2.Nc3 Nc6 3.g3
Caro-Kann Defense: Fantasy Variation,1.e4 c6 2.d4 d5 3.f3
French Defense: Advance Variation,1.e4 e6 2.d4 d5 3.e5
Trompowsky Attack: Edge Variation,1.d4 Nf6 2.Bg5 Ne4 3.Bh4
"French Defense: Horwitz, Papa-Ticulat Gambit",1.e4 e6 2.b3 d5 3.Bb2
"Sicilian Defense: O'Kelly, Yerevan System",1.e4 c5 2.Nf3 a6 3.Nc3
Caro-Kann Defense: Modern Variation,1.e4 c6 2.d4 d5 3.Nd2
"Vienna Game: Falkbeer, Stanley Variation",1.e4 e5 2.Nc3 Nf6 3.Bc4
Benoni Defense: Czech Variation,1.d4 Nf6 2.c4 c5 3.d5 e5
"Scandinavian Defense: Modern, Marshall Variation",1.e4 d5 2.exd5 Nf6 3.d4 Nxd5
Queen's Gambit Accepted: Gunsberg Defense with 3...c5,1.d4 d5 2.c4 dxc4 3.Nf3 c5
King's Indian Attack: French Variation,1.Nf3 d5 2.g3 c5 3.Bg2 Nc6
"Scandinavian Defense: Modern, Scandinavian Gambit",1.e4 d5 2.exd5 Nf6 3.c4 c6
"French Defense: Tarrasch, Guimard Defense",1.e4 e6 2.d4 d5 3.Nd2 Nc6
Magnus Queen's Gambit,1.d4 d5 2.c4 e6 3.Nc3 a6
"Sicilian Defense: Canal, Main Line",1.e4 c5 2.Nf3 d6 3.Bb5+ Bd7
Queen's Gambit Accepted,1.d4 d5 2.Nf3 Nf6 3.c4 dxc4
Alapin Sicilian Defense: Barmen Defense,1.e4 c5 2.c3 d5 3.exd5 Qxd5
"Scandinavian Defense: Modern, Portuguese Variation",1.e4 d5 2.exd5 Nf6 3.d4 Bg4
"Sicilian Defense: Hyperaccelerated Dragon, Fianchetto, Pterodactyl Defense",1.e4 c5 2.Nf3 g6 3.d4 Bg7
"English Opening: Carls-Bremen, Reversed Dragon Variation",1.c4 e5 2.Nc3 Nf6 3.g3 d5
"Sicilian Defense: Hyperaccelerated Dragon, Fianchetto, Pterodactyl Defense",1.e4 g6 2.d4 Bg7 3.Nf3 c5
English Opening: Neo-Catalan Defense,1.c4 e6 2.Nf3 d5 3.g3 Nf6
"Queen's Gambit Accepted: Central Variation, McDonnell Defense",1.d4 d5 2.c4 dxc4 3.e4 e5
"French Defense: Tarrasch, Closed",1.e4 e6 2.d4 d5 3.Nd2 Nf6
"French Defense: Tarrasch, Open",1.e4 e6 2.d4 d5 3.Nd2 c5
"Queen's Gambit Declined: Chigorin, Exchange Variation",1.d4 d5 2.c4 Nc6 3.cxd5 Qxd5
"Sicilian Defense: O'Kelly, Maróczy Bind, Paulsen Line",1.e4 c5 2.Nf3 a6 3.c4 e6
Nimzo-Indian Defense,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4
Bogo-Indian Defense,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+
King's Indian Defense: Normal Variation,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7
"Petrov's Defense: Steinitz Attack, Symmetrical Variation",1.e4 e5 2.Nf3 Nf6 3.d4 Nxe4
Old Indian Defense: Ukrainian Variation,1.d4 Nf6 2.c4 d6 3.Nc3 e5
Queen's Gambit Declined: Pseudo-Tarrasch Defense,1.d4 d5 2.c4 e6 3.Nf3 c5
Philidor Defense: Nimzowitsch Variation,1.e4 e5 2.Nf3 d6 3.d4 Nf6
Four Knights Game,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6
Philidor Defense: Exchange Variation,1.e4 e5 2.Nf3 d6 3.d4 exd4
Nimzo-Indian Defense,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4
Sicilian Defense: Smith-Morra Gambit Accepted,1.e4 c5 2.d4 cxd4 3.c3 dxc3
Ruy López Opening: Berlin Defense,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6
Benko Gambit,1.d4 Nf6 2.c4 c5 3.d5 b5
"English Opening: Carls-Bremen, Keres Variation",1.c4 e5 2.Nc3 Nf6 3.g3 c6
Pirc Defense: Main Line,1.e4 d6 2.d4 Nf6 3.Nc3 g6
Ruy López Opening: Bird's Defense,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nd4
Modern Defense: Pterodactyl Defense with 3.c4,1.e4 g6 2.d4 Bg7 3.c4 c5
Dutch Defense: Leningrad Variation,1.d4 f5 2.c4 Nf6 3.g3 g6
Ruy López Opening: Jaenisch Gambit,1.e4 e5 2.Nf3 Nc6 3.Bb5 f5
Giuoco Piano Game,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5
Caro-Kann Defense: Gurgenidze System,1.e4 c6 2.d4 d5 3.Nc3 g6
"Torre Attack: Classical Defense, Nimzowitsch Variation",1.d4 Nf6 2.Nf3 e6 3.Bg5 h6
"French Defense: Tarrasch, Morozevich Variation",1.e4 e6 2.d4 d5 3.Nd2 Be7
"Indian Game: Spielmann-Indian, Pseudo-Benko Variation",1.d4 Nf6 2.Nf3 c5 3.d5 b5
Ruy López Opening: Old Steinitz Defense,1.e4 e5 2.Nf3 Nc6 3.Bb5 d6
Italian Game: Two Knights Defense,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6
King's Indian Attack: French Variation,1.Nf3 d5 2.g3 c5 3.Bg2 Nc6
Queen's Gambit Accepted: Gunsberg Defense with 3...c5,1.d4 d5 2.c4 dxc4 3.Nf3 c5
Benoni Defense: Czech Variation,1.d4 Nf6 2.c4 c5 3.d5 e5
French Defense: Winawer Variation,1.e4 e6 2.d4 d5 3.Nc3 Bb4
"King's Indian Defense: Alekhine Anti-Grünfeld, Neo-Grünfeld Defense, Goglidze Attack",1.d4 Nf6 2.c4 g6 3.f3 d5
Ruy López Opening: Classical Defense,1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5
Ruy López Opening: Morphy Defense,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6
"Caro-Kann Defense: Advance, Botvinnik-Carls Defense",1.e4 c6 2.d4 d5 3.e5 c5
Sicilian Defense: Anti-Qxd4 Move-Order,1.e4 c5 2.Nf3 d6 3.d4 Nf6
"Slav Defense: Modern, Triangle System",1.d4 d5 2.c4 c6 3.Nf3 e6
"Slav Defense: Modern, Triangle System",1.d4 d5 2.c4 e6 3.Nf3 c6
Italian Game: Hungarian Defense,1.e4 e5 2.Nf3 Nc6 3.Bc4 Be7
"English Opening: Anglo-Indian, Queen's Indian Formation",1.c4 Nf6 2.Nc3 e6 3.Nf3 b6
French Defense: Classical Variation,1.e4 e6 2.d4 d5 3.Nc3 Nf6
English Opening: Nimzo-English Opening,1.c4 Nf6 2.Nc3 e6 3.Nf3 Bb4
"Scandinavian Defense: Mieses-Kotrč, Main Line",1.e4 d5 2.exd5 Qxd5 3.Nc3 Qa5
"Scandinavian Defense: Mieses-Kotrč, Gubinsky-Melts Defense",1.e4 d5 2.exd5 Qxd5 3.Nc3 Qd6
"Modern Defense: Standard, Pterodactyl Defense",1.e4 g6 2.d4 Bg7 3.Nc3 c5
Philidor Defense: Hanham Variation,1.e4 e5 2.Nf3 d6 3.d4 Nd7
"English Opening: Symmetrical, Four Knights Variation",1.c4 c5 2.Nc3 Nc6 3.Nf3 Nf6
"English Opening: Agincourt, Romanishin Variation",1.c4 e6 2.Nf3 Nf6 3.g3 a6
"Queen's Pawn Opening: Torre, Gossip Variation",1.d4 d5 2.Nf3 Nf6 3.Bg5 Ne4
Center Game Accepted: Normal Variation,1.e4 e5 2.d4 exd4 3.Qxd4 Nc6
"English Opening: Agincourt, Romanishin Variation",1.c4 Nf6 2.Nf3 e6 3.g3 a6
Torre Attack: Fianchetto Defense,1.d4 Nf6 2.Nf3 g6 3.Bg5 Bg7
English Opening: Nimzo-English Opening,1.c4 Nf6 2.Nc3 e6 3.Nf3 Bb4
French Defense: Classical Variation,1.e4 e6 2.d4 d5 3.Nc3 Nf6
"English Opening: Anglo-Indian, Queen's Indian Formation",1.c4 Nf6 2.Nc3 e6 3.Nf3 b6
Italian Game: Hungarian Defense,1.e4 e5 2.Nf3 Nc6 3.Bc4 Be7
"Slav Defense: Modern, Triangle System",1.d4 d5 2.c4 e6 3.Nf3 c6
"Slav Defense: Modern, Triangle System",1.d4 d5 2.c4 c6 3.Nf3 e6
Sicilian Defense: Anti-Qxd4 Move-Order,1.e4 c5 2.Nf3 d6 3.d4 Nf6
"Caro-Kann Defense: Advance, Botvinnik-Carls Defense",1.e4 c6 2.d4 d5 3.e5 c5
Ruy López Opening: Morphy Defense,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6
Ruy López Opening: Classical Defense,1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5
"King's Indian Defense: Alekhine Anti-Grünfeld, Neo-Grünfeld Defense, Goglidze Attack",1.d4 Nf6 2.c4 g6 3.f3 d5
"Modern Defense: Rat Defense, Accelerated Gurgenidze Variation",1.e4 g6 2.d4 d6 3.Nc3 c6
French Defense: Rubinstein Variation,1.d4 d5 2.e4 dxe4 3.Nc3 e6
Benoni Defense: Hromádka System,1.d4 Nf6 2.c4 c5 3.d5 d6
"English Opening: Carls-Bremen, Smyslov System",1.c4 e5 2.Nc3 Nf6 3.g3 Bb4
